,Property ID,Locality data,Price,Property type,Property subtype,Type of sale,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Number of facades,Swimming pool,Building condition
244, 20238447,9060,299000,house,house,None,2,125,1,0,1,None,160,3,0,As new
245, 20240822,2940,399000,house,house,None,5,156,1,0,1,None,None,3,0,Good
246, 20240047,9991,548000,house,house,None,4,277,0,0,1,None,None,None,0,As new
247, 20241006,9890,1190000,house,country-cottage,None,4,387,0,0,1,None,None,4,0,To be done up
248, 20241304,9830,1275000,house,house,None,5,273,0,0,1,None,None,4,0,None
249, 20219660,4100,215000,house,house,None,4,200,0,0,1,30,420,2,0,Just renovated
250, 20218522,4041,265000,house,house,None,3,104,1,0,1,85,None,3,0,Good
251, 20220164,8790,299000,house,house,None,2,130,1,0,1,53,47,3,0,None
252, 20232745,8800,229000,house,house,None,5,189,1,0,1,None,None,None,0,To renovate
253, 20232746,8800,229000,house,house,None,5,189,1,0,1,None,None,None,0,To renovate
254, 20229718,8870,295000,house,house,None,3,165,0,0,1,None,None,None,0,To renovate
255, 20229977,8870,329000,house,house,None,3,188,0,0,1,None,None,None,0,Good
256, 20231048,2160,339000,house,house,None,2,152,1,0,1,None,None,3,0,To be done up
257, 20231223,4500,415000,house,house,None,3,200,1,0,1,None,100,4,1,Good
258, 20229744,3800,465000,house,house,None,7,314,1,0,1,None,100,None,0,Good
259, 20231478,6220,595000,house,house,None,4,400,1,0,1,None,None,4,0,Good
260, 20231479,6220,595000,house,apartment-block,None,4,400,1,0,1,None,None,4,0,Good
261, 20228784,1040,875000,house,house,None,4,233,0,0,1,21,None,3,0,To be done up
262, 20228776,1050,875000,house,house,None,4,233,0,0,1,21,None,3,0,To be done up
263, 20228067,8020,2695000,house,villa,None,4,1005,0,0,1,None,5500,4,1,As new
264, 20209470,9700,265000,house,house,None,4,178,1,0,1,None,None,3,0,To be done up
265, 20223501,4102,169000,house,house,None,3,82,1,0,1,13,128,2,0,Good
266, 20225253,8400,305000,house,house,None,3,132,0,0,1,40,40,None,0,Good
267, 20224852,8500,337500,house,mansion,None,4,224,0,0,1,30,None,None,0,To renovate
268, 20224765,9681,499000,house,villa,None,3,257,0,0,1,37,800,4,0,Good
269, 20236415,7943,170000,house,country-cottage,None,4,260,0,0,1,None,1400,4,0,To renovate
270, 20237753,4180,185000,house,house,None,3,136,0,0,1,None,None,4,0,To restore
271, 20233272,4540,379000,house,villa,None,3,200,0,0,1,44,1300,4,0,None
272, 20240197,9790,435000,house,house,None,4,174,0,0,1,None,None,None,1,Good
273, 20235971,3550,380000,house,house,None,5,259,0,0,1,None,None,None,0,To renovate
274, 20235831,9000,399000,house,house,None,3,128,0,0,1,None,None,None,0,Good
275, 20237561,9050,409000,house,house,None,3,118,1,0,1,None,20,2,0,As new
276, 20237294,9860,525000,house,house,None,5,424,0,0,1,None,None,3,0,Just renovated
277, 20236928,1082,730000,house,mansion,None,5,238,1,0,1,None,330,3,0,Good
278, 20217365,4452,159000,house,house,None,3,149,1,0,1,None,20,3,0,To be done up
279, 20214295,4102,215000,house,house,None,3,131,1,0,1,40,30,2,0,As new
280, 20211744,4020,260000,house,house,None,3,93,1,0,1,35,298,3,0,Good
281, 20228928,6224,149900,house,house,None,3,None,0,0,1,None,139,3,0,To renovate
282, 20227743,4000,189000,house,house,None,4,145,0,0,1,42,None,2,0,Good
283, 20227690,1930,490000,house,house,None,3,140,1,0,1,13,260,3,0,Good
284, 20228632,4217,549000,house,house,None,4,346,0,0,1,70,12300,4,1,Good
285, 20228472,1970,747000,house,villa,None,4,195,0,0,1,10,250,4,0,To renovate
286, 20220249,9340,179000,house,house,None,2,91,0,0,1,13,52,2,0,To be done up
287, 20221067,9620,260000,house,house,None,3,219,1,0,1,None,None,None,0,Good
288, 20222924,2020,375000,house,house,None,3,183,0,0,1,3,None,2,0,Good
289, 20223026,2018,529000,house,house,None,6,235,0,0,1,None,24,2,0,Good
290, 20223033,2140,529000,house,house,None,6,235,0,0,1,None,24,2,0,Good
291, 20222515,2390,599900,house,villa,None,4,300,0,0,1,None,1300,4,0,Just renovated
292, 20230995,8600,129000,house,house,None,2,165,0,0,1,None,None,None,0,To renovate
293, 20232197,9050,295000,house,house,None,2,101,1,0,1,None,None,None,0,Just renovated
294, 20235694,7520,315000,house,villa,None,4,200,1,0,1,None,None,4,0,To be done up
295, 20234254,9400,399500,house,house,None,4,248,1,0,1,None,None,2,0,Good
296, 20234860,6250,499000,house,villa,None,5,300,0,0,1,140,None,4,0,None
297, 20226640,2800,369000,house,house,None,3,103,1,0,1,13,40,2,0,Good
298, 20226643,2800,379000,house,house,None,3,129,1,0,1,None,16,2,0,Good
299, 20225786,2840,985000,house,house,None,4,250,0,0,1,None,None,None,1,Good
300, 20226422,1150,1375000,house,house,None,5,340,0,0,1,None,None,4,1,Good
301, 20241684,4520,169000,house,house,None,2,131,0,0,1,50,450,3,0,Good
302, 20238041,8000,299000,house,house,None,2,122,1,0,1,30,None,2,0,Good
303, 20239882,8500,365000,house,house,None,3,203,0,0,1,None,None,None,0,Good
304, 20240596,9030,395000,house,house,None,2,102,1,0,1,None,80,2,0,Good
305, 20239982,8501,431500,house,house,None,3,173,0,0,1,None,None,None,0,Good
306, 20239983,8501,439000,house,house,None,3,172,0,0,1,None,None,None,0,Good
307, 20239981,8501,453400,house,house,None,3,180,0,0,1,None,None,None,0,Good
308, 20241675,2940,489000,house,house,None,5,193,0,0,1,None,None,2,0,Good
309, 20241601,9660,695000,house,house,None,4,305,1,0,1,70,None,4,1,None
310, 20240717,8750,785000,house,villa,None,4,200,0,0,1,None,None,4,0,As new
311, 20218966,4030,259000,house,house,None,2,161,1,0,1,None,88,2,0,Good
312, 20220541,2660,265000,house,house,None,2,145,0,0,1,None,82,2,0,To be done up
313, 20221048,1390,650000,house,house,None,6,300,1,0,1,None,None,4,0,Good
314, 20219933,9230,895000,house,villa,None,3,357,0,0,1,None,1089,4,0,None
315, 20231677,9600,249000,house,house,None,4,125,1,0,1,None,None,3,0,Good
316, 20230794,6220,295000,house,house,None,3,140,0,0,1,None,None,3,0,To be done up
317, 20231596,4590,329000,house,bungalow,None,3,150,1,0,1,40,350,4,0,Good
318, 20230980,5020,429000,house,house,None,4,161,1,0,1,55,1877,4,0,Good
319, 20232101,3210,497000,house,house,None,4,198,0,0,1,None,890,4,0,Just renovated
320, 20225403,4600,385000,house,house,None,4,263,1,0,1,220,2317,3,1,Good
321, 20223629,9940,395000,house,house,None,4,150,1,0,1,None,None,None,0,Good
322, 20225205,9630,439000,house,house,None,4,158,0,0,1,None,None,None,0,Good
323, 20223626,8300,1365000,house,house,None,3,155,0,0,1,None,None,2,0,Good
